updated,total_tests_CHW,total_tests_empl_otp,total_tests_otp,total_tests_CHW_past_72,total_pos_on_campus_res,new_pos_on_campus_res_past_72,total_pos_off_campus_res,new_pos_off_campus_res_past_72,total_recov_on_campus_res,new_recov_on_campus_res_past_72,current_hosp_on_campus_res,total_on_campus_res_iso,new_on_campus_res_iso_past_72,remaining_iso_beds,total_on_campus_res_quar,new_on_campus_res_quar_past_72,total_on_quar_current_quar_in_place,new_on_campus_quar_in_place_past_72
9/18/2020,3174,,,139,6,1,73,1,2,0,0,6,1,168,15,0,,
9/19/2020,3298,,,124,6,0,79,6,2,0,0,5,0,170,14,0,,
9/20/2020,3298,,,124,6,0,79,6,2,0,0,5,0,170,14,0,,
9/21/2020,3298,,,124,6,0,79,6,2,0,0,5,0,170,14,0,,
9/22/2020,3345,,,47,6,0,84,5,3,0,0,3,0,172,14,1,,
9/23/2020,3444,,,99,7,1,86,2,5,0,0,3,0,173,13,1,,
9/24/2020,3669,,,225,10,3,87,1,5,0,0,7,4,169,13,0,,
9/25/2020,3822,,,153,10,0,88,1,5,0,0,10,0,166,13,0,,
9/26/2020,3915,,,93,11,1,91,3,5,0,0,12,2,164,15,3,,
9/27/2020,3915,,,93,11,1,91,3,5,0,0,12,2,164,15,3,,
9/28/2020,3915,,,93,11,1,91,3,5,0,0,12,2,164,15,3,,
9/29/2020,4033,,,118,21,10,92,1,8,3,0,12,1,164,15,0,,
9/30/2020,4247,,,214,21,0,95,3,8,0,0,12,0,164,15,0,,
10/1/2020,4385,,,138,21,0,98,3,8,0,0,11,0,165,15,0,,
10/2/2020,4497,,,112,24,3,103,5,11,3,0,14,3,162,15,0,,
10/3/2020,4638,,,141,26,2,104,1,12,1,0,15,1,161,15,0,,
10/4/2020,4638,,,141,26,2,104,1,12,1,0,15,1,161,15,0,,
10/5/2020,4638,,,141,26,2,104,1,12,1,0,15,1,161,15,0,,
10/6/2020,4768,,,130,26,0,107,3,12,0,0,15,1,161,15,0,189,3
10/7/2020,6695,,,291,27,1,116,9,13,0,0,15,1,161,15,0,189,0
10/8/2020,7443,,,232,31,1,138,12,15,1,0,16,1,161,14,0,234,23
10/9/2020,8631,,,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
10/10/2020,8631,,,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
10/11/2020,8631,,,203,33,2,146,8,15,0,0,17,2,160,14,0,259,25
10/12/2020,6042,,4288,244,40,1,154,3,16,0,0,24,2,153,14,0,279,0
10/13/2020,,,,,,,,,,,,24,,,14,,279,
10/14/2020,6176,,4611,134,40,0,156,2,16,0,0,24,0,153,14,0,279,0
10/15/2020,6361,,5120,185,41,1,161,5,16,0,0,24,1,153,14,0,282,3
10/16/2020,6536,,5638,175,42,1,164,3,16,0,0,26,2,152,13,0,320,38
10/19/2020,6672,,5969,136,44,2,173,9,16,0,0,20,2,156,14,2,127,0
10/20/2020,6860,,6713,188,44,0,173,0,16,0,0,16,0,160,15,0,127,0
10/21/2020,6972,,7238,112,45,1,175,2,16,0,0,16,0,159,16,1,124,0
10/22/2020,7103,,7547,131,46,1,178,3,16,0,0,16,1,159,16,0,127,3
10/24/2020,7239,,7751,136,46,0,181,3,16,0,0,16,1,159,16,0,103,3
10/26/2020,7363,,8454,124,46,0,184,3,16,0,0,6,2,173,3,1,72,2
10/27/2020,7539,,8454,176,48,2,193,9,16,0,0,6,2,173,2,0,55,0
10/28/2020,7671,,8345,132,51,3,200,7,16,0,0,8,3,143,30,29,90,35
10/29/2020,8670,1053,8023,352,53,2,202,2,16,0,0,10,3,140,31,1,95,5
